YL283_YEAST_A_1_elong	YL283_YEAST_A_1_elong
SUSD1_HUMAN_A_1_elong	SUSD1_HUMAN_A_1_elong
B0G117_DICDI_A_1_elong	B0G117_DICDI_A_1_elong
CRK12_ARATH_A_1_elong	CRK12_ARATH_A_1_elong
TBL40_ARATH_A_1_elong	TBL40_ARATH_A_1_elong
SPTSB_HUMAN_A_1_elong	SPTSB_HUMAN_A_1_elong
TMPSC_HUMAN_A_1_elong	TMPSC_HUMAN_A_1_elong
TMK3_ARATH_A_1_elong	TMK3_ARATH_A_1_elong
SYP21_ARATH_A_1_elong	SYP21_ARATH_A_1_elong
FTSH3_ARATH_A_1_elong	FTSH3_ARATH_A_1_elong
UCRI2_ARATH_A_1_elong	UCRI2_ARATH_A_1_elong
UCRI2_ARATH_A_1_elong	UCRI1_ARATH_A_1_elong
SAFA_ECOLI_A_1_elong	SAFA_ECOLI_A_1_elong
LEUK_HUMAN_A_1_elong	LEUK_HUMAN_A_1_elong
BZP17_ARATH_A_1_elong	BZP17_ARATH_A_1_elong
LR37B_HUMAN_A_1_elong	LR37B_HUMAN_A_1_elong
ZAN_HUMAN_A_1_elong	ZAN_HUMAN_A_1_elong
NECT3_HUMAN_A_1_elong	NECT3_HUMAN_A_1_elong
SSRA_HUMAN_A_1_elong	SSRA_HUMAN_A_1_elong
Q1PDQ2_ARATH_A_1_elong	Q1PDQ2_ARATH_A_1_elong
C71AP_ARATH_A_1_elong	C71AP_ARATH_A_1_elong
Y9347_DICDI_A_2_elong	Y9347_DICDI_A_2_elong
DNJC1_HUMAN_A_2_elong	DNJC1_HUMAN_A_2_elong
UB2J2_HUMAN_A_1_elong	UB2J2_HUMAN_A_1_elong
O82294_ARATH_A_1_elong	O82294_ARATH_A_1_elong
Q54UJ9_DICDI_A_1_elong	Q54UJ9_DICDI_A_1_elong
NAT14_HUMAN_A_2_elong	NAT14_HUMAN_A_2_elong
SIA4B_HUMAN_A_1_elong	SIA4B_HUMAN_A_1_elong
B3GT2_ARATH_A_1_elong	B3GT2_ARATH_A_1_elong
B3GT2_ARATH_A_1_elong	B3GT1_ARATH_A_1_elong
PREB_HUMAN_A_1_elong	PREB_HUMAN_A_1_elong
H6ST3_HUMAN_A_1_elong	H6ST3_HUMAN_A_1_elong
NCER1_ARATH_A_1_elong	NCER1_ARATH_A_1_elong
BMR1A_HUMAN_A_1_elong	BMR1A_HUMAN_A_1_elong
SHSA9_HUMAN_A_1_elong	SHSA9_HUMAN_A_1_elong
TMIE_HUMAN_A_1_elong	TMIE_HUMAN_A_1_elong
Q86KF0_DICDI_A_1_elong	Q86KF0_DICDI_A_1_elong
Q86KF0_DICDI_A_1_elong	Q54C09_DICDI_A_1_elong
Q86KF0_DICDI_A_1_elong	Q550E1_DICDI_A_1_elong
Q54YC0_DICDI_A_1_elong	Q54YC0_DICDI_A_1_elong
Y2921_ARATH_A_1_elong	Y2921_ARATH_A_1_elong
PPI3A_ARATH_A_1_elong	PPI3A_ARATH_A_1_elong
PPI3A_ARATH_A_1_elong	PPI2_ARATH_A_1_elong
PPI3A_ARATH_A_1_elong	PPI3B_ARATH_A_1_elong
HOKA_ECOLI_A_1_elong	HOKA_ECOLI_A_1_elong
TBL25_ARATH_A_1_elong	TBL25_ARATH_A_1_elong
FAP2_ARATH_A_1_elong	FAP2_ARATH_A_1_elong
STX4_HUMAN_A_1_elong	STX4_HUMAN_A_1_elong
DJB12_HUMAN_A_1_elong	DJB12_HUMAN_A_1_elong
DJB12_HUMAN_A_1_elong	DJB14_HUMAN_A_1_elong
MIC60_YEAST_A_1_elong	MIC60_YEAST_A_1_elong
F4K6U4_ARATH_A_1_elong	F4K6U4_ARATH_A_1_elong
DRS7B_HUMAN_A_1_elong	DRS7B_HUMAN_A_1_elong
SLG1_YEAST_A_1_elong	SLG1_YEAST_A_1_elong
QCR8_HUMAN_A_1_elong	QCR8_HUMAN_A_1_elong
TMEM9_HUMAN_A_1_elong	TMEM9_HUMAN_A_1_elong
CL12B_HUMAN_A_1_elong	CL12B_HUMAN_A_1_elong
SHL2B_HUMAN_A_1_elong	SHL2B_HUMAN_A_1_elong
SHL2B_HUMAN_A_1_elong	SHL2A_HUMAN_A_1_elong
RHD3_ARATH_A_3_elong	RHD3_ARATH_A_3_elong
RCAS1_HUMAN_A_1_elong	RCAS1_HUMAN_A_1_elong
SE1L2_HUMAN_A_1_elong	SE1L2_HUMAN_A_1_elong
MXRA7_HUMAN_A_1_elong	MXRA7_HUMAN_A_1_elong
Q9SZU2_ARATH_A_1_elong	Q9SZU2_ARATH_A_1_elong
Y818_METJA_A_1_elong	Y818_METJA_A_1_elong
Q9FZI4_ARATH_A_1_elong	Q9FZI4_ARATH_A_1_elong
COX26_YEAST_A_1_elong	COX26_YEAST_A_1_elong
TMED6_HUMAN_A_1_elong	TMED6_HUMAN_A_1_elong
B561Q_ARATH_A_1_elong	B561Q_ARATH_A_1_elong
ORTHL_ARATH_A_1_elong	ORTHL_ARATH_A_1_elong
CC180_HUMAN_A_1_elong	CC180_HUMAN_A_1_elong
Q54VV3_DICDI_A_1_elong	Q54VV3_DICDI_A_1_elong
Q54VV3_DICDI_A_1_elong	Q54QL1_DICDI_A_1_elong
F4K7X6_ARATH_A_1_elong	F4K7X6_ARATH_A_1_elong
F4K7X6_ARATH_A_1_elong	Q5XEN4_ARATH_A_1_elong
Q501G9_ARATH_A_1_elong	Q501G9_ARATH_A_1_elong
SYP32_ARATH_A_1_elong	SYP32_ARATH_A_1_elong
CD276_HUMAN_A_1_elong	CD276_HUMAN_A_1_elong
RGI4_ARATH_A_1_elong	RGI4_ARATH_A_1_elong
ALK_HUMAN_A_1_elong	ALK_HUMAN_A_1_elong
FTSH_ECOLI_A_1_elong	FTSH_ECOLI_A_1_elong
DDPS4_ARATH_A_1_elong	DDPS4_ARATH_A_1_elong
CCMD_ECOLI_A_1_elong	CCMD_ECOLI_A_1_elong
ITA7_HUMAN_A_1_elong	ITA7_HUMAN_A_1_elong
Q9SW35_ARATH_A_1_elong	Q9SW35_ARATH_A_1_elong
PCDH9_HUMAN_A_1_elong	PCDH9_HUMAN_A_1_elong
HOC1_YEAST_A_1_elong	HOC1_YEAST_A_1_elong
COLC1_HUMAN_B_1_elong	COLC1_HUMAN_B_1_elong
COLC1_HUMAN_B_1_elong	COLC1_HUMAN_A_1_elong
SINE2_ARATH_A_1_elong	SINE2_ARATH_A_1_elong
